cve_ageb,transit_demand,accessibility_score,coverage_gap_raw,coverage_gap_n,demand_quantile,access_quantile,gap_category
0100100012884,1576.1456508670362,125155.0,0.012593448583104575,0.0013542022953711038,2,4,Low-gap
0100100012920,703.0149494281771,125695.0,0.005592977894508792,0.0006035186384037235,1,4,Low-gap
0100100012935,1802.8311788601636,124745.0,0.014452015927245472,0.0015526308609384472,2,4,Low-gap
0100100012954,8416.729626978331,125355.0,0.06714261484873744,0.007031854355644389,5,4,Medium-gap
0100100012969,7163.099375326583,124945.0,0.05732956137312585,0.006032210121796715,5,4,Medium-gap
0100100012973,6005.414118257166,125355.0,0.04790687416842565,0.005063561967042398,4,4,Medium-gap
0100100012988,1201.0795885530506,125155.0,0.009596660076648746,0.0010334840337875464,2,4,Low-gap
0100100012992,2918.865911800704,0.0,2918.865911800704,0.863423121140018,3,1,Medium-gap
0100100013011,7653.001646045197,123540.0,0.061947059243855865,0.006503739767484212,5,3,Medium-gap
0100100013045,7657.919272596552,118610.0,0.06456331430134264,0.006769997391993736,5,3,Medium-gap
0100100013064,3874.3184648049473,119405.0,0.032446597866145316,0.0034552237816956734,3,3,Medium-gap
0100100013079,2611.1804149263157,119785.0,0.021798711159286693,0.0023334526335428043,2,3,Medium-gap
0100100013083,1372.8564522883398,123560.0,0.011110758672140399,0.0011956426615582242,2,3,Medium-gap
0100100013098,484.5078830536115,120645.0,0.004015946513383051,0.0004336871825825615,1,3,Medium-gap
0100100013115,4067.420961026861,126115.0,0.0322514269484194,0.003434766504877688,3,4,Medium-gap
0100100013149,4059.8771900981,121820.0,0.03332657907994599,0.0035474129828343293,3,3,Medium-gap
0100100013153,1808.6712063898756,0.0,1808.6712063898756,0.81165723612874,2,1,Medium-gap
0100100013168,6653.122184154107,128445.0,0.05179703676373034,0.005464520492429438,4,5,Medium-gap
0100100013172,1553.903937894512,127185.0,0.012217570628013397,0.0013140276896280321,2,5,Low-gap
0100100013187,5420.632778842076,127230.0,0.04260465435972425,0.004514659287464968,4,5,Medium-gap
0100100013191,5098.460179080317,121685.0,0.041898494313892455,0.004441344790084122,4,3,Medium-gap
0100100013204,2973.058213861253,122055.0,0.02435814883218566,0.0026041569116574126,3,3,Medium-gap
