route_id,modification_type,reason,current_score,proposed_score,overlap_route_id,detail
C111-V1,merge,Route overlaps 62.0% of served AGEBs with C111-V3 (Jaccard=0.62). Consolidation improves frequency without expanding coverage.,0.14648208862498083,,C111-V3,Merge C111-V1 into C111-V3; combine headways to improve service frequency.
C111-V2,retire,"Route has low demand-gain (f1=0.034, score=0.216) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.2158266521206299,,,Reduce frequency or retire C111-V2; reallocate vehicles to higher-demand routes.
C111-V3,merge,Route overlaps 69.4% of served AGEBs with C67-V1 (Jaccard=0.69). Consolidation improves frequency without expanding coverage.,0.15336208757756534,,C67-V1,Merge C111-V3 into C67-V1; combine headways to improve service frequency.
C112,retire,"Route has low demand-gain (f1=0.062, score=0.199) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.19898795010671702,,,Reduce frequency or retire C112; reallocate vehicles to higher-demand routes.
C113-V1,shortcut,Route detour_ratio=1.51 > 1.5. Current route_km=19.9km; estimated shortcut=14.5km (straight_line_km=13.2km x 1.1).,0.2402623630692602,0.2855,,Replace detoured alignment with direct route between highest-demand endpoints (~14.5km).
C113-V2,shortcut,Route detour_ratio=1.53 > 1.5. Current route_km=20.2km; estimated shortcut=14.5km (straight_line_km=13.2km x 1.1).,0.24507800951836972,0.2927,,Replace detoured alignment with direct route between highest-demand endpoints (~14.5km).
C114-V1,merge,Route overlaps 63.0% of served AGEBs with C114-V2 (Jaccard=0.63). Consolidation improves frequency without expanding coverage.,0.2515258113748011,,C114-V2,Merge C114-V1 into C114-V2; combine headways to improve service frequency.
C114-V2,retire,"Route has low demand-gain (f1=0.023, score=0.274) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.2736435041450098,,,Reduce frequency or retire C114-V2; reallocate vehicles to higher-demand routes.
C115,shortcut,Route detour_ratio=1.68 > 1.5. Current route_km=21.4km; estimated shortcut=14.1km (straight_line_km=12.8km x 1.1).,0.22847885580252797,0.2898,,Replace detoured alignment with direct route between highest-demand endpoints (~14.1km).
C116-A,shortcut,Route detour_ratio=1.74 > 1.5. Current route_km=31.3km; estimated shortcut=19.8km (straight_line_km=18.0km x 1.1).,0.20303016685850178,0.2884,,Replace detoured alignment with direct route between highest-demand endpoints (~19.8km).
C116-B,shortcut,Route detour_ratio=1.67 > 1.5. Current route_km=30.0km; estimated shortcut=19.8km (straight_line_km=18.0km x 1.1).,0.17531441235836814,0.2606,,Replace detoured alignment with direct route between highest-demand endpoints (~19.8km).
C117,shortcut,Route detour_ratio=1.54 > 1.5. Current route_km=30.6km; estimated shortcut=21.9km (straight_line_km=19.9km x 1.1).,0.15471142208987299,0.2226,,Replace detoured alignment with direct route between highest-demand endpoints (~21.9km).
C118,retire,"Route has low demand-gain (f1=0.002, score=0.213) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.21301941869420346,,,Reduce frequency or retire C118; reallocate vehicles to higher-demand routes.
C120,retire,"Route has low demand-gain (f1=0.001, score=0.145) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.14521022237821335,,,Reduce frequency or retire C120; reallocate vehicles to higher-demand routes.
C121-B,shortcut,Route detour_ratio=1.91 > 1.5. Current route_km=19.8km; estimated shortcut=11.4km (straight_line_km=10.4km x 1.1).,0.2226815539041361,0.2927,,Replace detoured alignment with direct route between highest-demand endpoints (~11.4km).
C122,shortcut,Route detour_ratio=2.24 > 1.5. Current route_km=24.3km; estimated shortcut=11.9km (straight_line_km=10.9km x 1.1).,0.19257926529208477,0.2957,,Replace detoured alignment with direct route between highest-demand endpoints (~11.9km).
C123-V1,retire,"Route has low demand-gain (f1=0.003, score=0.180) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.18047813383802147,,,Reduce frequency or retire C123-V1; reallocate vehicles to higher-demand routes.
C123-V2,merge,Route overlaps 61.2% of served AGEBs with C107 (Jaccard=0.61). Consolidation improves frequency without expanding coverage.,0.22774095343344436,,C107,Merge C123-V2 into C107; combine headways to improve service frequency.
C124,shortcut,Route detour_ratio=1.64 > 1.5. Current route_km=30.2km; estimated shortcut=20.2km (straight_line_km=18.4km x 1.1).,0.14031714715203739,0.222,,Replace detoured alignment with direct route between highest-demand endpoints (~20.2km).
C125-V1,shortcut,Route detour_ratio=1.62 > 1.5. Current route_km=39.6km; estimated shortcut=26.9km (straight_line_km=24.4km x 1.1).,0.14279743269382014,0.169,,Replace detoured alignment with direct route between highest-demand endpoints (~26.9km).
C125-V2,merge,Route overlaps 71.2% of served AGEBs with C125-V1 (Jaccard=0.71). Consolidation improves frequency without expanding coverage.,0.14271727633168352,,C125-V1,Merge C125-V2 into C125-V1; combine headways to improve service frequency.
C126-V1,merge,Route overlaps 100.0% of served AGEBs with LM-C01 (Jaccard=1.00). Consolidation improves frequency without expanding coverage.,0.1511726240738234,,LM-C01,Merge C126-V1 into LM-C01; combine headways to improve service frequency.
