cve_ageb,IM_2020,GM_2020,IRS_2020,GRS_2020
1402600010085,119.4480825,Medio,4.0540540541,Bajo
140260001009A,122.3546622,Bajo,17.6991150442,Bajo
1402600010102,121.1884841,Bajo,13.1313131313,Medio
1402600010121,117.8476626,Alto,13.4831460674,Medio
1402600010210,119.4942995,Medio,4.5454545455,Medio
1402600010244,115.172472,Muy alto,26.3157894737,Alto
1402700010171,120.3975193,Medio,19.7604790419,Medio
1402700010186,120.7144798,Medio,29.3768545994,Medio
1402700010190,120.2086511,Medio,23.2558139535,Medio
1402700010203,103.1861738,Muy alto,64.0,Muy alto
1402700010222,115.6984405,Alto,34.615384615400004,Alto
1402700010237,121.422132,Bajo,29.6296296296,Medio
1402800010107,118.7931531,Medio,15.5844155844,Medio
1402800010111,119.6632618,Medio,9.9447513812,Medio
1402800010126,113.5962518,Muy alto,4.7619047619,Medio
1402800010130,121.9172125,Bajo,6.6666666667,Medio
1402900010091,120.7615293,Medio,12.7952755906,Medio
1402900010119,121.1767978,Bajo,16.393442623,Medio
1402900010123,118.396273,Alto,11.7511520737,Medio
1402900010138,119.61295,Medio,12.1739130435,Medio
1402900010142,113.917659,Muy alto,25.0,Alto
1403000010124,118.6104115,Medio,23.5862068966,Medio
1403000010139,115.794534,Alto,27.0676691729,Medio
1403000010143,115.2168883,Alto,23.3564013841,Medio
1403000010158,120.570819,Medio,15.0406504065,Bajo
1403000010232,119.7736539,Medio,13.4615384615,Bajo
1403000010247,120.6993439,Medio,16.348773842,Bajo
1403000010270,118.2636058,Alto,18.6335403727,Medio
1403000010285,117.5202578,Alto,18.1049069374,Medio
140300001029A,115.0056461,Muy alto,30.3097345133,Medio
1403000010302,118.0946664,Alto,20.89093702,Medio
1403000010340,117.9975256,Alto,20.5263157895,Medio
1403000010590,117.1433787,Alto,22.3880597015,Medio
1403000010637,120.5476521,Medio,22.5806451613,Bajo
1403000010641,118.7400493,Medio,21.4285714286,Medio
1403000020088,120.0743057,Medio,4.2042042042,Muy bajo
1403000020196,119.2452682,Medio,14.1491395793,Bajo
1403000020209,118.4323102,Alto,14.8788927336,Bajo
1403000020213,117.1390013,Alto,16.6874221669,Bajo
1403000020228,118.2447949,Alto,14.1483516484,Bajo
1403000020317,121.813131,Bajo,4.4025157233,Muy bajo
140300002036A,124.1880867,Muy bajo,1.4492753623,Muy bajo
1403000020389,118.2585904,Alto,34.375,Bajo
1403000020497,116.3891828,Alto,5.4054054054,Bajo
1403000020533,120.5908435,Medio,11.2244897959,Bajo
1403000020656,122.0271061,Bajo,5.1136363636,Muy bajo
