cve_ageb,POBTOT,POB0_14,POB15_64,POB65_MAS,P_15A17,P_18A24,VPH_AUTOM,VIVPAR_HAB
1901802121756,1094,274,803,17,32,59,378,289
1901802121760,0,0,0,0,0,0,0,*
1901802340000,10649,3353,7064,229,548,966,1716,2869
1901802341830,2662,883,1738,41,152,230,400,737
1901802341845,4249,1283,2865,101,230,447,555,1148
190180234185A,3738,1187,2461,87,166,289,761,984
1901802360000,8853,3051,5687,113,293,578,1954,2462
1901802361794,3063,1074,1948,41,111,200,658,831
1901802361807,2000,613,1351,34,63,144,491,569
1901802361811,2958,1063,1867,28,92,184,645,846
1901802361826,832,301,521,10,27,50,160,216
1901900000000,132169,21363,88198,17883,4802,15474,29793,28233
1901900010000,132128,21362,88176,17865,4802,15472,29791,28219
1901900010011,5460,1216,3561,683,251,676,465,1207
1901900010026,3668,745,2395,517,164,406,376,873
190190001005A,2404,278,1580,543,82,244,774,590
1901900010064,2721,390,1792,537,82,239,835,744
1901900010079,4464,545,2993,926,166,513,1362,1069
1901900010083,1374,112,936,326,17,119,531,397
1901900010098,1854,232,1255,367,40,220,609,474
1901900010100,1944,283,1218,441,41,186,583,482
1901900010115,1551,214,1021,316,53,136,370,415
190190001012A,1385,173,950,262,44,141,327,360
1901900010134,2119,386,1449,279,86,236,532,492
1901900010149,1163,196,812,155,42,166,280,233
1901900010153,1800,259,1222,318,74,189,445,381
1901900010168,1570,180,1066,324,45,197,524,455
1901900010172,1335,151,908,276,62,172,396,290
1901900010187,4463,656,3087,718,174,611,1217,945
1901900010191,2824,412,1954,458,78,355,676,701
1901900010204,3926,705,2684,537,140,413,919,963
1901900010219,1954,258,1292,404,59,230,601,413
1901900010223,2979,200,1172,383,53,202,540,548
1901900010238,1904,169,765,227,49,134,335,336
1901900010242,2717,358,1805,553,89,345,722,508
1901900010257,1307,165,871,265,57,143,360,257
1901900010261,2240,303,1513,424,111,306,570,342
1901900010280,2690,187,1218,238,44,238,533,536
1901900010312,1942,495,1289,158,93,239,154,392
1901900010327,6145,1074,4414,656,193,609,1023,1617
1901900010331,6771,1399,4847,525,246,819,890,1607
1901900010350,2768,340,1973,451,80,411,917,242
1901900010365,3419,759,2449,211,134,481,939,366
190190001037A,1523,256,1136,130,65,209,394,273
1901900010384,1111,57,310,88,17,59,138,141
1901900010399,1162,25,143,52,9,20,80,81
1901900010401,2375,550,1560,265,89,238,455,485
1901900010416,700,97,538,65,36,133,174,148
1901900010420,1696,212,1218,266,54,169,537,450
1901900010435,4494,828,3320,344,177,549,1225,1072
190190001044A,4383,911,3188,282,234,556,1203,684
1901900010454,557,61,415,81,21,77,162,93
1901900010469,3112,462,2288,361,133,429,795,465
1901900010473,983,140,736,106,37,124,248,186
1901900010488,2757,660,1790,295,154,354,365,509
1901900010492,2848,439,1890,519,104,311,832,690
1901900010505,2494,303,1856,335,98,352,739,517
190190001051A,1899,234,1307,357,65,212,538,383
1901900010539,2687,449,1983,255,72,368,593,708
1901900010543,2474,541,1644,289,90,283,497,427
1901900010558,1349,184,1020,145,53,157,406,322
1901900010562,450,129,288,33,18,30,119,124
1901900010577,4317,872,2978,467,195,638,702,911
1901900010581,3802,723,2488,590,135,505,497,825
1901900010596,34,7,23,4,*,*,*,7
1901900010609,1928,373,1508,47,91,308,265,463
1901900010613,132,9,58,11,4,13,20,20
1901900010628,0,0,0,0,0,0,0,0
1902100000000,481213,127161,335149,18619,25805,61718,72979,126527
1902100010000,454967,117864,318652,18168,24495,58953,70286,119467
190210001001A,1,*,*,*,*,*,*,*
1902100010043,4208,804,2780,617,203,418,644,1147
1902100010062,148,26,108,14,7,11,34,41
