stop_id,stop_name,stop_lat,stop_lon
P289,Costco,21.915535,-102.288634
P290,Troquel,21.907538,-102.291592
P291,Ebano,21.905445,-102.289697
P292,Celso Bernal,21.902496,-102.288691
P293,20 De Noviembre,21.901654,-102.289224
P295,Norberto Gómez,21.895141,-102.290813
P296,Esperanza,21.893222,-102.290275
P297,José María,21.891136,-102.289533
P298,Xochitl,21.889196,-102.289844
P299,Zaragoza,21.887358,-102.292153
P300,Candell,21.886817,-102.292785
P301,Morelos,21.885479,-102.294467
P302,Del Sol,21.877691,-102.293325
P303,Monumento Papa Juan Pablo Ii,21.859932,-102.302052
P304,Enrique Rebsamen,21.857502,-102.305145
P305,Diego Fernández,21.855436,-102.304475
P306,Eugenio Alcala,21.853717,-102.303187
P308,Secundaria Técnica 24,21.84995,-102.298121
P309,Abraham González,21.849665,-102.294128
P310,Telmex,21.846513,-102.294004
P311,San Cristobal De Las Casas,21.840049,-102.29369
P312,Volcan Tacana,21.833891,-102.293641
P313,Francisco Guel,21.831076,-102.293797
P314,Alfredo Reyes,21.827326,-102.293979
P315,Coto 5205,21.807456,-102.300358
P316,Upa,21.805275,-102.294692
P317,San Gerardo,21.806691,-102.292293
P318,Uaa Sur,21.793511,-102.287377
P319,José María Chavéz,21.832058,-102.29083
P320,Hotel Misión,21.834799,-102.28828
P321,Correso De México,21.8355,-102.284747
P322,Anselmo,21.835877,-102.282986
P323,Díaz Torres,21.836342,-102.280534
P324,Secretaría De Bienestar,21.838361,-102.280075
P325,Jesús Rivera,21.842353,-102.28004
P326,Angel Dorronsoro,21.842221,-102.283321
P327,Gregorio Ruiz,21.841825,-102.2856136
P329,Sedeso,21.84134,-102.289273
P330,Siglo Xxi,21.844393,-102.290376
P331,Parque Rodolfo Landeros,21.852321,-102.291709
P332,Preparatoria Bachilleres,21.858103,-102.295661
P333,Secretaria Nacional De Empleo,21.859255,-102.297871
P335,Norberto Gómez,21.891421,-102.295962
P336,José Reyes,21.894065,-102.296994
