cve_ent,cve_mun,cve_loc,ageb,codigo_act,per_ocu
15,106,0001,3246,236211,11 a 30 personas
15,051,0001,0468,238190,6 a 10 personas
15,054,0049,1133,236221,6 a 10 personas
15,054,0041,110A,236111,11 a 30 personas
15,054,0049,1241,238210,11 a 30 personas
15,106,0001,0449,238390,0 a 5 personas
15,106,0086,4263,238221,0 a 5 personas
15,106,0001,0523,238210,0 a 5 personas
15,054,0038,1097,238210,0 a 5 personas
15,106,0001,0557,238210,11 a 30 personas
15,106,0001,0468,238290,0 a 5 personas
15,106,0071,5149,238990,0 a 5 personas
15,054,0049,1241,238311,0 a 5 personas
15,106,0112,2483,238130,11 a 30 personas
15,106,0001,0519,237312,11 a 30 personas
15,106,0075,4117,238210,0 a 5 personas
15,067,0001,0190,238221,0 a 5 personas
15,054,0049,1218,237212,6 a 10 personas
15,076,0001,0185,238210,0 a 5 personas
15,106,0090,4367,238210,11 a 30 personas
15,072,0001,0063,237312,11 a 30 personas
15,076,0001,0113,238290,0 a 5 personas
15,106,0001,1945,238311,0 a 5 personas
15,054,0034,0830,238311,0 a 5 personas
15,062,0001,0194,238311,0 a 5 personas
15,118,0067,0168,238312,0 a 5 personas
15,118,0001,0859,238311,0 a 5 personas
15,106,0001,2036,236211,0 a 5 personas
15,106,0001,206A,238330,0 a 5 personas
15,118,0075,0420,237111,11 a 30 personas
15,054,0038,1010,237111,6 a 10 personas
15,054,0038,1010,237111,11 a 30 personas
15,106,0086,4259,236113,0 a 5 personas
15,106,0001,0576,237212,0 a 5 personas
15,076,0001,0325,236211,6 a 10 personas
15,106,0001,2074,237212,11 a 30 personas
15,067,0001,0190,238340,6 a 10 personas
15,106,0001,2159,238330,0 a 5 personas
15,118,0060,0806,238330,6 a 10 personas
15,076,0001,0414,236212,11 a 30 personas
15,106,0049,5100,237111,11 a 30 personas
15,106,0001,2426,238221,0 a 5 personas
15,106,0001,0608,238221,0 a 5 personas
15,106,0001,0398,238221,0 a 5 personas
15,106,0001,0383,238221,0 a 5 personas
15,106,0001,0468,238221,0 a 5 personas
15,118,0001,0505,238221,0 a 5 personas
15,106,0084,1803,238221,0 a 5 personas
15,106,0001,0383,238221,0 a 5 personas
15,106,0090,4297,238221,0 a 5 personas
15,106,0001,0523,238221,0 a 5 personas
15,054,0001,0578,238221,0 a 5 personas
15,106,0001,0646,238221,0 a 5 personas
15,054,0038,1082,238221,0 a 5 personas
15,090,0001,0199,238221,0 a 5 personas
15,106,0001,0383,238221,0 a 5 personas
15,106,0001,0523,238221,0 a 5 personas
15,106,0055,3655,238221,0 a 5 personas
15,076,0001,0147,237312,251 y mÃ¡s personas
15,106,0001,0576,236113,11 a 30 personas
15,106,0112,4653,238110,11 a 30 personas
15,106,0001,0379,238290,0 a 5 personas
15,062,0001,0207,238290,0 a 5 personas
15,106,0046,4827,238290,0 a 5 personas
15,076,0001,0132,238290,0 a 5 personas
15,054,0049,1237,238290,6 a 10 personas
15,054,0034,0826,238350,0 a 5 personas
15,106,0001,3388,238290,0 a 5 personas
15,106,0001,2445,238290,0 a 5 personas
15,106,0046,4850,238290,0 a 5 personas
15,106,0071,5149,237111,51 a 100 personas
15,054,0001,0258,236111,31 a 50 personas
15,106,0080,3848,238130,0 a 5 personas
15,106,0001,0646,238221,0 a 5 personas
15,106,0086,423A,238312,6 a 10 personas
15,106,0072,2178,236111,0 a 5 personas
15,118,0001,0134,236221,11 a 30 personas
15,106,0001,0580,236112,11 a 30 personas
15,106,0001,0468,236211,0 a 5 personas
15,106,0238,3443,236111,51 a 100 personas
15,106,0001,0307,238122,6 a 10 personas
15,106,0001,0398,238350,0 a 5 personas
15,106,0001,2055,238210,0 a 5 personas
15,054,0037,0953,238210,0 a 5 personas
15,106,0233,4475,238221,0 a 5 personas
15,106,0073,0294,238390,0 a 5 personas
15,054,0001,0578,238221,0 a 5 personas
15,106,0001,0561,238221,0 a 5 personas
15,051,0001,0260,238221,0 a 5 personas
15,106,0073,0294,238221,0 a 5 personas
15,054,0035,0811,238221,0 a 5 personas
15,106,0001,2040,238221,0 a 5 personas
15,106,0001,0491,238221,0 a 5 personas
15,106,0001,2040,238290,0 a 5 personas
15,054,0049,1237,238221,0 a 5 personas
15,106,0001,3208,238221,0 a 5 personas
15,106,0235,4507,238210,0 a 5 personas
15,054,0037,0972,238122,11 a 30 personas
15,106,0075,4102,238290,0 a 5 personas
15,118,0058,005A,237111,11 a 30 personas
15,106,0084,3509,238350,6 a 10 personas
15,106,0001,0595,238290,0 a 5 personas
15,118,0001,0149,238210,0 a 5 personas
15,106,0001,1945,238210,6 a 10 personas
15,106,0001,0487,238210,0 a 5 personas
15,106,0001,0646,238221,0 a 5 personas
15,054,0049,1186,238221,0 a 5 personas
15,106,0075,4117,238221,0 a 5 personas
15,106,0001,0307,238221,0 a 5 personas
15,106,0097,2267,238221,0 a 5 personas
15,076,0001,0058,238190,0 a 5 personas
15,076,0001,0113,236211,101 a 250 personas
15,054,0037,0953,236111,0 a 5 personas
15,106,0001,0307,236111,6 a 10 personas
15,106,0087,398A,238210,31 a 50 personas
15,054,0049,1237,238290,6 a 10 personas
15,106,0001,0491,237132,6 a 10 personas
15,054,0037,0987,237994,0 a 5 personas
15,106,0001,213A,236221,6 a 10 personas
15,076,0001,0132,236211,251 y mÃ¡s personas
15,106,0001,195A,236211,11 a 30 personas
15,106,0001,0491,236221,51 a 100 personas
15,106,0238,3443,236211,251 y mÃ¡s personas
15,054,0049,1203,237312,0 a 5 personas
15,106,0233,4456,238130,0 a 5 personas
