CVEGEO,CVE_MUN,CVE_LOC,POB_TOTAL,IM_2020,GM_2020,IMN_2020,has_conapo
140390001382A,039,0001,4065.0,123.168052911771,Bajo,0.962142646899055,True
1403900014211,039,0001,4952.0,119.668437781278,Medio,0.934804965696998,True
1403900014902,039,0001,2033.0,125.852911786581,Muy bajo,0.983115757728461,True
1403900010577,039,0001,1432.0,125.976828754723,Muy bajo,0.984083750620323,True
1403900015099,039,0001,2598.0,120.572573838038,Medio,0.94186773756229,True
1403900013730,039,0001,1089.0,120.154607802511,Medio,0.938602743611106,True
1403900012569,039,0001,3196.0,123.212732216856,Bajo,0.962491664877666,True
1403900014387,039,0001,6168.0,122.52205486125,Bajo,0.957096352348429,True
140390001400A,039,0001,2960.0,122.716504806519,Bajo,0.958615322410938,True
1403900014527,039,0001,3204.0,122.383052403631,Bajo,0.956010517269146,True
1403900011683,039,0001,3329.0,121.067406115425,Medio,0.945733181773517,True
1403900011946,039,0001,2222.0,121.953187543893,Bajo,0.952652574164749,True
1403900014300,039,0001,5081.0,121.572972290036,Bajo,0.949682475165138,True
1403900013514,039,0001,2921.0,123.186966760885,Bajo,0.962290394796496,True
1403900014048,039,0001,5939.0,120.797485075496,Medio,0.943624659817771,True
1403900013872,039,0001,6219.0,123.08929613216,Bajo,0.961527428466962,True
140390001101A,039,0001,1340.0,119.225615707739,Medio,0.931345805696758,True
1403900014813,039,0001,3428.0,124.569970989523,Muy bajo,0.9730939052666,True
1403900011861,039,0001,1324.0,123.690043607379,Bajo,0.966220242490252,True
1403900014480,039,0001,5137.0,122.219171998596,Bajo,0.954730344992746,True
1403900012041,039,0001,1670.0,120.591851964541,Medio,0.942018331058103,True
1403900015402,039,0001,2478.0,120.403034397466,Medio,0.940543359022156,True
1403900015154,039,0001,2653.0,120.612352793786,Medio,0.942178475849282,True
1403900010295,039,0001,2694.0,125.169122674434,Muy bajo,0.977774253574346,True
1403900014052,039,0001,5240.0,124.021397518479,Muy bajo,0.968808655001038,True
1403900011804,039,0001,424.0,123.825910230067,Muy bajo,0.967281581602856,True
1403900015012,039,0001,5358.0,118.651540187672,Medio,0.926861342986337,True
140390001546A,039,0001,2692.0,120.156504684992,Medio,0.938617561345802,True
1403900015544,039,0001,2653.0,119.723640253906,Medio,0.935236186714738,True
1403900013317,039,0001,2911.0,125.33691615096,Muy bajo,0.979084993298006,True
1403900015440,039,0001,4067.0,119.74590922448,Medio,0.935410143563,True
1403900014103,039,0001,3343.0,123.344233512187,Bajo,0.963518903689754,True
1403900012319,039,0001,4397.0,121.036104084823,Medio,0.9454886620473,True
1403900011842,039,0001,1147.0,124.119618818085,Muy bajo,0.969575922965018,True
1403900013853,039,0001,1911.0,124.500857599794,Muy bajo,0.972554017380427,True
1403900011819,039,0001,469.0,121.854376945927,Bajo,0.951880702822942,True
1403900011170,039,0001,4531.0,122.770221874943,Bajo,0.959034940007995,True
1403900011626,039,0001,513.0,122.817857105274,Bajo,0.95940704856629,True
1403900014438,039,0001,4428.0,119.891179405396,Medio,0.936544939746575,True
140390001158A,039,0001,270.0,116.12362154986,Alto,0.907114190442874,True
1403900013938,039,0001,2667.0,119.789965692987,Medio,0.935754296175794,True
1403900014512,039,0001,4757.0,121.979184260519,Bajo,0.952855650767438,True
